title,number_of_parts,key,key_change_info,metrics,album,author,date,i,ix,ii,iix,iii,iv,ivx,v,vx,vi,vix,vii,ci,cix,cii,ciix,ciii,civ,civx,cv,cvx,cvi,cvix,cvii
cry_for_a_shadow,2,C,['None'],[('4/4'; 1)],single,harrison; lennon,03 64,75.6875,2.75,48.5,0.25,84.4375,21.5,3.0,54.375,3.0,51.0,1.0,21.6875,20.75[('major'; 19.0); ('interval class 4'; 1.75)],0[None],3.25[('7'; 3.0); ('interval class 4'; 0.25)],0[None],7.1875[('7'; 3.0); ('minor'; 3.0); ('interval class 5'; 0.8125); ('interval class 2'; 0.375)],8.0[('major'; 5.0); ('major-second major tetrachord'; 3.0)],0[None],9.25[('major'; 6.25); ('7'; 3.0)],0[None],19.125[('minor'; 12.25); ('interval class 5'; 2.5); ('major'; 2.0); ('interval class 3'; 1.375); ('perfect-fourth minor tetrachord'; 1.0)],0.75[('dim'; 0.75)],4.375[('interval class 3'; 4.125); ('interval class 4'; 0.25)]
day_tripper,5,E,['None'],[('4/4'; 1)],single,lennon,12 65,165.875,3.625,56.375,17.625,68.0,30.375,10.5,114.5,8.875,48.25,29.5,18.5,44.5[('major'; 31.375); ('interval class 5'; 10.0); ('interval class 4'; 3.125)],2.625[('major'; 2.625)],14.5[('7'; 10.5); ('interval class 5'; 3); ('interval class 3'; 1)],0[None],2[('interval class 3'; 2)],11.25[('7'; 6.0); ('major'; 5.25)],0[None],6.75[('major'; 4.5); ('interval class 5'; 1.875); ('interval class 4'; 0.375)],0[None],5.125[('interval class 3'; 5.125)],1.125[('interval class 4'; 1.125)],8.75[('7'; 6.0); ('interval class 3'; 2.75)]
dont_let_me_down,4,E,['None'],[('5/4'; 4); ('4/4'; 4)],single,lennon,04 69,245.75,0.125,141.375,0.0,84.78125,82.5,0.0,158.625,0.0,131.4375,0.0,9.5625,70.0[('major'; 52.375); ('interval class 5'; 12.5625); ('interval class 4'; 2.0625); ('major 7'; 2); ('unison'; 1.0)],0[None],66.8125[('minor 7'; 37.75); ('major pentatonic'; 12.0); ('interval class 5'; 8.75); ('minor'; 7.0); ('unison'; 1.0625); ('interval class 3'; 0.25)],0[None],11.0625[('interval class 3'; 9.0); ('unison'; 1.0625); ('interval class 2'; 1.0)],9.25[('major'; 5.0); ('interval class 4'; 2.25); ('quartal'; 1.75); ('interval class 5'; 0.25)],0[None],10.75[('7'; 8.0); ('interval class 5'; 2.5625); ('unison'; 0.1875)],0[None],4.375[('interval class 5'; 2.4375); ('interval class 3'; 1.4375); ('unison'; 0.5)],0[None],0[None]
from_me_to_you,5,C,['None'],[('4/4'; 1)],single,mccartney; lennon,04 62,92.375,0.625,49.25,6.125,71.375,31.75,2.5,76.875,1.625,54.875,6.375,20.25,10.75[('major'; 10.75)],0[None],4.5[('7'; 2.5); ('minor 7'; 2.0)],0[None],1.0[('major 7'; 1.0)],6.5[('major'; 6.5)],0[None],8.75[('major'; 5.0); ('7'; 3.75)],0[None],10.0[('minor'; 10.0)],2.0[('7'; 2.0)],0[None]
hey_jude,5,F,['None'],[('4/4'; 2); ('2/4'; 2)],single,mccartney,08 68,252.0,0.0,64.6875,0.25,87.875,107.875,0.3125,183.6875,0.0,57.5625,35.5,56.875,61.875[('major'; 53.75); ('minor-7'; 3.0); ('unison'; 2.5); ('interval class 5'; 1.5); ('interval class 4'; 0.75); ('quartal'; 0.375)],0[None],12.875[('major'; 6.875); ('minor'; 6.0)],0[None],0.5[('minor'; 0.5)],19.625[('7'; 16.25); ('dim'; 2.375); ('interval class 3'; 1.0)],0[None],15.75[('major'; 14.5); ('minor'; 1.0); ('interval class 4'; 0.25)],0[None],35.75[('major'; 23.5); ('minor'; 6.0); ('interval class 4'; 2); ('major 7'; 2.0); ('minor 7'; 2.0); ('interval class 3'; 0.25)],11.75[('dim'; 5.0); ('7'; 5.0); ('unison'; 1.75)],0.875[('interval class 3'; 0.75); ('unison'; 0.125)]
i_feel_fine,4,G,['None'],[('4/4'; 1); ('2/4'; 1)],single,lennon,11 64,168.75,0.0,52.625,10.5,58.625,38.375,1.25,159.125,0.0,19.375,5.0,26.0,38.0[('major'; 38.0)],0[None],2.0[('interval class 5'; 1.0); ('minor'; 1.0)],8.0[('7'; 8.0)],4.0[('interval class 5'; 2.0); ('minor'; 2.0)],4.0[('major'; 3.0); ('interval class 5'; 1.0)],0[None],20.0[('major'; 18.0); ('interval class 5'; 2.0)],0[None],0[None],0[None],0[None]
i_want_to_hold_your_hand,4,G,['None'],[('4/4'; 1)],single,mccartney; lennon,11 63,65.4375,0.0,48.1875,0.5,49.9375,34.59375,1.25,96.78125,1.5,64.25,1.25,17.78125,16.4375[('interval class 5'; 6.6875); ('major'; 6.375); ('unison'; 2.25); ('interval class 4'; 1.125)],0[None],2.5625[('interval class 3'; 2.3125); ('interval class 2'; 0.25)],0[None],10.5625[('interval class 5'; 5.125); ('interval class 3'; 3.1875); ('7'; 2.25)],10.1875[('interval class 5'; 4.5); ('major'; 3.5); ('interval class 4'; 2.1875)],0[None],31.375[('interval class 5'; 23.625); ('whole-tone'; 3.5); ('interval class 4'; 2.75); ('interval class 3'; 0.5); ('7'; 0.5); ('major'; 0.5)],0[None],9.25[('interval class 5'; 5.75); ('interval class 3'; 2.0); ('minor'; 1.5)],0[None],0[None]
ill_get_you,5,D,['None'],[('4/4'; 1)],single,mccartney; lennon,08 63,126.25,0.125,73.53125,0.0,81.09375,82.84375,2.0,155.125,0.0,70.96875,6.0,20.625,43.5[('major'; 24.0); ('interval class 5'; 19.5)],0[None],6.25[('interval class 3'; 2.25); ('7'; 2.0); ('interval class 5'; 2.0)],0[None],23.5[('interval class 3'; 23.5)],25.875[('major'; 11.0); ('interval class 5'; 8.75); ('interval class 4'; 6.125)],0[None],33.6875[('interval class 5'; 13.0625); ('7'; 12.0); ('major'; 5.0); ('minor 7'; 3.0); ('interval class 4'; 0.625)],0[None],15.0625[('minor'; 6.0); ('interval class 5'; 5.8125); ('interval class 3'; 3.25)],0[None],0[None]
im_down,5,G,['None'],[('4/4'; 1)],single,mccartney,07 65,159.375,0.3125,18.96875,20.28125,42.46875,90.71875,0.3125,70.96875,0.03125,25.53125,16.65625,7.3125,42.5625[('major'; 15.375); ('interval class 5'; 13.5); ('interval class 4'; 6.8125); ('7'; 4.125); ('interval class 2'; 2.75)],0.3125[('interval class 3'; 0.3125)],6.375[('interval class 3'; 3.125); ('interval class 2'; 2.625); ('minor-7'; 0.625)],17.53125[('interval class 3'; 12.03125); ('7'; 4.0); ('interval class 2'; 1.5)],11.59375[('interval class 3'; 7.09375); ('dim'; 4.5)],23.9375[('interval class 5'; 14.0); ('interval class 4'; 9.9375)],0.25[('interval class 3'; 0.25)],12.59375[('interval class 4'; 4); ('interval class 5'; 2.75); ('interval class 3'; 2.34375); ('7'; 2.0); ('interval class 2'; 1.5)],0.03125[('interval class 3'; 0.03125)],14.09375[('interval class 3'; 10.84375); ('7'; 2.5); ('minor'; 0.75)],0.0625[('interval class 4'; 0.0625)],2.40625[('interval class 3'; 1.28125); ('tritone'; 1.125)]
lady_madonna,9,A,['None'],[('4/4'; 1)],single,mccartney,03 68,284.75,0.0,77.875,87.53125,58.25,115.0,0.5,86.25,74.0,14.875,61.0,7.0,64.5[('unison'; 26.0); ('interval class 4'; 19.0); ('interval class 3'; 12.0); ('minor'; 7.5)],0[None],35.5[('dim'; 15.0); ('interval class 2'; 14.0); ('unison'; 3.5); ('quartal'; 3)],19.0[('interval class 5'; 6.0); ('interval class 4'; 4.5); ('major'; 4.5); ('unison'; 4.0)],0[None],10.0[('minor'; 3.0); ('minor-7'; 3.0); ('interval class 3'; 2.0); ('interval class 5'; 2.0)],0.5[('interval class 3'; 0.5)],20.0[('interval class 3'; 11.0); ('unison'; 6); ('7'; 3)],26.5[('interval class 4'; 25.0); ('maj7'; 1.5)],4.0[('interval class 3'; 4.0)],7.0[('7'; 3.0); ('major'; 3); ('interval class 4'; 1.0)],4[('interval class 3'; 4)]
